2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:89] - 正在去除死路
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:46] - dfs从(84,12)开始
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(84,12)
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(84,13)
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,13)
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(86,13)
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,13)
2025-11-23 14:28:14,805 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(88,13)
2025-11-23 14:28:14,806 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,13)
2025-11-23 14:28:14,806 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,13)
2025-11-23 14:28:14,806 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,13)
2025-11-23 14:28:14,806 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,14)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,15)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,15)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,15)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,16)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,17)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,18)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,19)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,20)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,21)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(89, 21)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,20)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(89, 20)
2025-11-23 14:28:14,807 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,19)
